id,feel,feel_category
015ce30f-39b3-4572-8bb5-ac40cbfe5cb3,,
033baccc-f560-430e-b761-051ad2d161d3,,
03742f19-f6ba-4bd4-953f-a9c517740145,很开心，都是宝宝,愉悦/满足
05aa38b2-9dd3-42c9-99b2-75fca1d9f05b,喧嚣,烦躁/压抑
084418c9-bf82-4f97-b51d-7eae0940853f,紧张害怕烦躁,焦虑/紧张
0c0fe536-584e-4d99-96e3-3512f616e90b,test,
0ce2c667-81d8-4939-963b-55d0bba0546e,内心平静，因为不平静也不行,平静/放松
0e16766c-3eac-444a-aa73-890986ac6c2b,热闹，放松,平静/放松
0f530f14-4d85-4d20-a722-8794899262f9,热闹 温馨,热闹/有生机
125c7f3e-0614-4329-b8dd-2d9c9778f559,感肃然，静谧,感慨/联想
130d3860-6051-44c8-8770-5efeef56716a,焦急 隆隆的一切 不安,焦虑/紧张
13839a15-86f4-4e0e-9f02-7c53c27d5e41,晚安,
13caf748-e737-44af-a791-2e581c7239cf,1,
145d13db-44e6-4ac2-8a67-742f4fc92df6,1,
15b36c62-7fad-4565-8d5a-7737055055c9,当一切都静下来，小声音才得以体现,感慨/联想
19ed78f9-7476-4c1f-b6fd-54afb9b83049,轻松开心愉快,愉悦/满足
1a50b11d-d4f7-4961-bd1a-d83a30b8fd03,人来人往行色匆匆的一种繁荣,热闹/有生机
1c248b03-4d70-4954-b4f7-f622ccb81886,test,
1c69a47e-de00-4da4-ae5c-70fc27409d1a,,
1cac45d7-21c1-4874-aa25-ccdafd408764,,
1de7dc90-a21a-4503-8309-1a748a6dcff9,peace and stress（for exam）,焦虑/紧张
1ec371c3-95f1-4ffb-b728-2923815e48e8,快节奏,热闹/有生机
1ee90a78-21ec-4570-9f97-1525592f78d2,非常惬意和祥和，感觉很美好，知了的白噪音让人很平静，鸟叫声很有活力，动物们的声音表现出的生命力非常感染我。,平静/放松
1f2d5183-5599-4bfc-8f8e-9832c43b2d96,,
24bd664c-d86f-4934-96a5-9e60c475b0b1,热闹,热闹/有生机
293ef918-ff5d-4cbf-9ce6-e897ae6b0e37,很烦很吵，小孩子也在pad上看视频外放,烦躁/压抑
2eb79c27-43fd-4721-951e-3feb7e5f67ec,热，累，但是感觉到心安,平静/放松
3084f4fb-de81-4f42-9416-bcc61c6e8997,轻松,平静/放松
32a6343b-53a2-449d-8f67-bc8be33f9b6a,轻松愉快，温度湿度很适合散步,愉悦/满足
36831746-d0e6-43e8-9fbd-460fdcfeb87f,出租车给我一种莫名的紧迫感,焦虑/紧张
36b04a0d-f5a4-4cf2-a80b-5be213a169e1,热天气让我有点烦躁，但是鸟儿的歌声使我平,烦躁/压抑
3731241b-f563-498c-a50f-8df7411eda28,喧嚣,烦躁/压抑
3ab22f17-8ae4-4ff3-8652-c96d160c246e,夜晚经常湖边坐下吹吹风听听湖水的声音感受,感慨/联想
3acc6048-4851-4030-80c4-d8e0b8ec93d0,,
3e3becc9-c60d-4ff2-af9b-ab60aa4e11fa,听过路人论我眼里的清泉潺潺,感慨/联想
3f339800-c167-4904-ab0d-7ce6bb353b6c,假期最后一天 回家路上,
3f76d5b7-d87c-46bb-8cc1-5e64ec4d63d6,但雨声让人很宁静，但外面装修的声音让我感觉很无奈也很stressful，有时还觉得生气,烦躁/压抑
3f94b76b-61a7-4ff0-b2f6-f17222ac38ed,无奈又烦躁，明明广播说不要外放，表示到处都是但永远无法避开外放的声音，我觉得被迫收听很生气。很多人都在看视频，这个社会情况在人的认知和感知能力方面都令我感到很担忧。,烦躁/压抑
4045a935-5dd7-4d94-8eeb-7cbeaa500b51,无,
4408631e-57e1-4a6e-a9c2-9845e10e3998,,
468da01e-c6f0-427b-9b68-ef7abd2e54c6,啊！前面一段喵喵叫居然没有录下来，这次只录了他们吃饭的声音，下次补上,
49212b11-c213-408e-8ab4-e1e0cb86e735,松了一口气,平静/放松
4b5c3c8b-bc95-4a25-bb05-8fea0db39207,清新 自在,平静/放松
4b68a409-7fea-457a-b614-0d74b112dc8d,迎接夏天的雨,感慨/联想
4da5167b-18f2-4882-9d9a-673a527d5414,有点平静，但也时常被吓到因为自行车会突然从身后驶来突然鸣铃,平静/放松
4e1be7ab-cc8e-46a2-94cb-7867e698f19e,心烦意乱,烦躁/压抑
5117844e-8453-4476-9f9c-13119bc599b7,舒适,平静/放松
526c0aba-96c9-4d6b-8964-930f6bbf681b,略微有点焦躁，明天有考试,焦虑/紧张
52abc961-6b9a-4090-b25b-3f0f209336f8,非常吵,烦躁/压抑
52fe3da7-70d8-4fa4-bcb4-b47a254ab235,游客的愉悦心情,愉悦/满足
53bf6149-e640-48ca-9df0-6410ba30eec2,深圳最近天天下雨，感到宁静，但也很心烦,烦躁/压抑
54f6e1d3-6e46-4277-8165-c2c4a90a7309,很惊讶-高峰期的地铁列车竟然比平时安静！很舒服，因为几乎大家都在低声说话或保持安静，列车运行也没有发出尖锐刺耳的声音，所以有种舒缓的感觉。,平静/放松
55db3826-12e5-4998-9484-3fa9e1a1528b,舒适，音乐声不太大感觉很贴心,平静/放松
589682d0-6bb7-4db9-bb97-486c9f624d5f,轻松愉快,愉悦/满足
59341fcb-196b-4f45-b147-7a9d695f5748,平静，简简单单平凡的一天傍晚,平静/放松
598e9538-a842-4748-89b0-ab2d721f5d78,小区,
60f7ce13-cd51-4f2d-8b37-4eed1fa69d54,分贝感觉蛮大的，耳机里的歌都听不见了,感慨/联想
61a3cb33-23fa-47dc-a8c9-5e42057b82ba,,
6395e62d-2db4-43d9-95ca-03417032fe34,不规则的噪声让我心情无法放松,平静/放松
63d2535a-6e2c-4121-b47b-bc3f9b7a268c,怀旧（淡淡的忧伤），平和,感慨/联想
659155b2-acf3-4db3-8bb7-cdf82379b2be,安宁,平静/放松
66b290b0-2f10-4729-bd9e-1f07c8aa135b,是安定的 有些新鲜的,平静/放松
66f8a7d6-43e4-42ed-b5a1-1d98ad993293,放松，惬意,平静/放松
67b386d7-0eca-4aa4-8d5e-144f35d95b6b,在苏州闲逛偶遇朋友，很惊喜,愉悦/满足
686c21bf-990f-4a86-9bed-d93b18620242,蜿蜒的亭台 人与人擦身的紧促,焦虑/紧张
6b01d729-70bf-4401-bd6b-176d0533a7b4,从教室走出来是放松的是宁静的,平静/放松
6b6a3a33-c281-4ca0-ba4b-ec311bc4bcd6,平静，熟悉的下雨的苏州,平静/放松
6bb0657e-177c-4767-ba47-be3dc0de6877,兴奋，激动,愉悦/满足
6d9f480b-c7ec-493a-9426-1f92da02b29e,惬意,平静/放松
6db2855b-a713-4055-94eb-4396d717c76e,烦扰,烦躁/压抑
6e378d5e-7942-4f4f-af35-05fc819ee569,,
707705fd-5189-4242-af09-f88a2b82e971,惆怅,感慨/联想
72ba67e1-9b1b-4213-98d8-2f9a902b8e13,发呆,感慨/联想
74ccf346-1fc7-4f8b-b728-a32a38f28d08,有点吵,烦躁/压抑
758b1d5d-1a91-4345-90c4-cda303e7b3b5,感觉很新奇，因为下大雨今天这里的人比平时多，所以商店广告比平时多、声音也大。,感慨/联想
75d4062d-d441-44e4-9814-759cebbcdf10,学校来了不少人有一点乱但是也有生机,热闹/有生机
77a89086-9e8f-4878-99ba-e8ec7402d2dc,声杂多，感纷扰,烦躁/压抑
77d05c37-f6d4-4305-9998-3d70fe048fab,非常绝望，每天都在装修声中醒来，居家办公、家庭主妇或退休老人都需要持续一整天忍受这个声音。,烦躁/压抑
78404834-3a4e-4e86-aea2-0f1247515a51,轻松属实，风吹过,平静/放松
