src,bgc,audio,describ,title,user,city,day,time,date,tag,feel
/asset/dummy/alice/alice-1-1.jpg,/asset/dummy/alice/alice-1-1.jpg,/asset/dummy/alice/alice-1-1.mp3,Morning commute — the rhythmic clatter of the subway merges with announcements echoing off tiled walls.,Morning Commute,alice,suzhou,1,08:12,05-01,On the way,rushed
/asset/dummy/alice/alice-1-1.jpg,/asset/dummy/alice/alice-1-1.jpg,/asset/dummy/alice/alice-1-1.mp3,Lunch break at the open-air food market: sizzling woks and vendors calling out the day's specials.,Food Market at Noon,alice,suzhou,1,12:34,05-01,Commercial space,hungry
/asset/dummy/bob/bob-1-1.jpg,/asset/dummy/bob/bob-1-1.jpg,/asset/dummy/bob/bob-1-1.mp3,A park fountain drowns out distant traffic — water and wind in slow rotation.,Park Fountain,bob,suzhou,1,10:05,05-01,Open space,peaceful
/asset/dummy/carol/carol-1-1.jpg,/asset/dummy/carol/carol-1-1.jpg,/asset/dummy/carol/carol-1-1.mp3,A street musician near the subway exit plays an erhu. Passersby slow without stopping.,Street Musician,carol,shenzhen,1,09:47,05-01,Historical place,curious
/asset/dummy/carol/carol-1-1.jpg,/asset/dummy/carol/carol-1-1.jpg,/asset/dummy/carol/carol-1-1.mp3,"Children's voices bounce off courtyard walls — jump rope counts, laughter, one brief dispute.",Children in Courtyard,carol,shenzhen,1,15:20,05-01,Historical place,nostalgic
/asset/dummy/carol/carol-1-1.jpg,/asset/dummy/carol/carol-1-1.jpg,/asset/dummy/carol/carol-1-1.mp3,The temple bell rings at sunset. Three slow strikes that make the whole block pause.,Temple Bell at Dusk,carol,suzhou,1,18:58,05-01,Historical place,still
/asset/dummy/alice/alice-2-1.jpg,/asset/dummy/alice/alice-2-1.jpg,/asset/dummy/alice/alice-2-1.mp3,"Rain drumming on a bus shelter roof — irregular, then steady, then irregular again.",Rain on Bus Shelter,alice,suzhou,2,14:03,05-02,On the way,melancholic
/asset/dummy/bob/bob-2-1.jpg,/asset/dummy/bob/bob-2-1.jpg,/asset/dummy/bob/bob-2-1.mp3,A construction site heard from two blocks away: the low thud of pile driving on a schedule.,Distant Construction,bob,shenzhen,2,09:15,05-02,Commercial space,tired
/asset/dummy/bob/bob-2-1.jpg,/asset/dummy/bob/bob-2-1.jpg,/asset/dummy/bob/bob-2-1.mp3,"Coffee shop ambient layer: milk frother, quiet jazz, overlapping conversations just below comprehension.",Coffee Shop Hum,bob,shenzhen,2,11:42,05-02,Commercial space,overwhelmed
/asset/dummy/carol/carol-2-1.jpg,/asset/dummy/carol/carol-2-1.jpg,/asset/dummy/carol/carol-2-1.mp3,"Night market coming alive — smoke from grills, plastic stools scraping pavement, someone haggling loudly.",Night Market,carol,shenzhen,2,19:30,05-02,Commercial space,hungry
/asset/dummy/carol/carol-2-1.jpg,/asset/dummy/carol/carol-2-1.jpg,/asset/dummy/carol/carol-2-1.mp3,"Rush-hour intersection: mopeds accelerate in gaps between lights, horns used as punctuation.",Moped Intersection,carol,shenzhen,2,08:44,05-02,On the way,rushed
/asset/dummy/alice/alice-3-1.jpg,/asset/dummy/alice/alice-3-1.jpg,/asset/dummy/alice/alice-3-1.mp3,Pre-dawn park — only birds and a distant sweeper. The city hasn't started yet.,Birds at Dawn,alice,shenzhen,3,05:51,05-03,Open space,peaceful
/asset/dummy/alice/alice-3-1.jpg,/asset/dummy/alice/alice-3-1.jpg,/asset/dummy/alice/alice-3-1.mp3,Factory whistle marks shift change. Workers stream through a gate while a new crowd lines up.,Factory Whistle,alice,suzhou,3,07:00,05-03,On the way,tired
/asset/dummy/alice/alice-3-1.jpg,/asset/dummy/alice/alice-3-1.jpg,/asset/dummy/alice/alice-3-1.mp3,"A river boat horn — two blasts, low and long — rolls across the water and fades into the embankment.",River Boat Horn,alice,suzhou,3,16:22,05-03,Open space,nostalgic
/asset/dummy/bob/bob-3-1.jpg,/asset/dummy/bob/bob-3-1.jpg,/asset/dummy/bob/bob-3-1.mp3,"School bell triggers a wave of sound: chairs, voices, feet on linoleum, the gate swinging open.",School Bell,bob,shenzhen,3,08:00,05-03,Historical place,nostalgic
/asset/dummy/bob/bob-3-1.jpg,/asset/dummy/bob/bob-3-1.jpg,/asset/dummy/bob/bob-3-1.mp3,"Wind moves through a bamboo grove beside the path — a dry, papery rustling with no pattern.",Bamboo in Wind,bob,suzhou,3,13:17,05-03,Open space,peaceful
/asset/dummy/bob/bob-3-1.jpg,/asset/dummy/bob/bob-3-1.jpg,/asset/dummy/bob/bob-3-1.mp3,"At dusk the crickets start. By dark they're everywhere, under everything.",Evening Crickets,bob,shenzhen,3,20:45,05-03,Open space,curious
/asset/dummy/carol/carol-3-1.jpg,/asset/dummy/carol/carol-3-1.jpg,/asset/dummy/carol/carol-3-1.mp3,"Inside the departure hall: rolling luggage, announcements in three languages, someone running for a gate.",Airport Hall,carol,shenzhen,3,11:10,05-03,On the way,overwhelmed
/asset/dummy/alice/alice-4-1.jpg,/asset/dummy/alice/alice-4-1.jpg,/asset/dummy/alice/alice-4-1.mp3,"Pavement still wet — footsteps sound heavier, puddles catch reflections of neon.",Wet Pavement,alice,shenzhen,4,07:38,05-04,On the way,tired
/asset/dummy/alice/alice-4-1.jpg,/asset/dummy/alice/alice-4-1.jpg,/asset/dummy/alice/alice-4-1.mp3,"Rush hour intersection: the light changes and everything moves at once — engines, wheels, voices.",Rush Hour Crossroads,alice,shenzhen,4,08:55,05-04,On the way,rushed
/asset/dummy/bob/bob-4-1.jpg,/asset/dummy/bob/bob-4-1.jpg,/asset/dummy/bob/bob-4-1.mp3,"Library interior: a kind of concentrated silence, disturbed only by page turns and climate control.",Library Quiet,bob,suzhou,4,14:30,05-04,Commercial space,still
/asset/dummy/carol/carol-4-1.jpg,/asset/dummy/carol/carol-4-1.jpg,/asset/dummy/carol/carol-4-1.mp3,Neighborhood loudspeaker broadcasts community notices in a flat monotone — heard through closed windows.,Neighborhood Broadcast,carol,shenzhen,4,07:05,05-04,Historical place,still
